task_id,defect_class,ground_truth_defect,miss_pylint,miss_ruff
plain_os,unused_import,1,0,0
from_os,unused_import,1,0,0
as_alias_os,unused_import,1,1,0
in_func_os,unused_import,1,1,0
in_class_os,unused_import,1,1,1
del_after_os,unused_import,1,1,1
dead_branch_os,unused_import,1,1,1
type_guard_os,unused_import,1,1,0
del_in_func_os,unused_import,1,1,1
try_in_func_os,unused_import,1,1,1
plain_sys,unused_import,1,0,0
from_sys,unused_import,1,0,0
as_alias_sys,unused_import,1,1,0
in_func_sys,unused_import,1,1,0
in_class_sys,unused_import,1,1,1
del_after_sys,unused_import,1,1,1
dead_branch_sys,unused_import,1,1,1
type_guard_sys,unused_import,1,1,0
del_in_func_sys,unused_import,1,1,1
try_in_func_sys,unused_import,1,1,1
plain_json,unused_import,1,0,0
from_json,unused_import,1,0,0
as_alias_json,unused_import,1,1,0
in_func_json,unused_import,1,1,0
in_class_json,unused_import,1,1,1
del_after_json,unused_import,1,1,1
dead_branch_json,unused_import,1,1,1
type_guard_json,unused_import,1,1,0
del_in_func_json,unused_import,1,1,1
try_in_func_json,unused_import,1,1,1
plain_math,unused_import,1,0,0
from_math,unused_import,1,0,0
as_alias_math,unused_import,1,1,0
in_func_math,unused_import,1,1,0
in_class_math,unused_import,1,1,1
del_after_math,unused_import,1,1,1
dead_branch_math,unused_import,1,1,1
type_guard_math,unused_import,1,1,0
del_in_func_math,unused_import,1,1,1
try_in_func_math,unused_import,1,1,1
plain_re,unused_import,1,0,0
from_re,unused_import,1,0,0
as_alias_re,unused_import,1,1,0
in_func_re,unused_import,1,1,0
in_class_re,unused_import,1,1,1
del_after_re,unused_import,1,1,1
dead_branch_re,unused_import,1,1,1
type_guard_re,unused_import,1,1,0
del_in_func_re,unused_import,1,1,1
try_in_func_re,unused_import,1,1,1
plain_io,unused_import,1,0,0
from_io,unused_import,1,0,0
as_alias_io,unused_import,1,1,0
in_func_io,unused_import,1,1,0
in_class_io,unused_import,1,1,1
del_after_io,unused_import,1,1,1
dead_branch_io,unused_import,1,1,1
type_guard_io,unused_import,1,1,0
del_in_func_io,unused_import,1,1,1
try_in_func_io,unused_import,1,1,1
plain_csv,unused_import,1,0,0
from_csv,unused_import,1,0,0
as_alias_csv,unused_import,1,1,0
in_func_csv,unused_import,1,1,0
in_class_csv,unused_import,1,1,1
del_after_csv,unused_import,1,1,1
dead_branch_csv,unused_import,1,1,1
type_guard_csv,unused_import,1,1,0
del_in_func_csv,unused_import,1,1,1
try_in_func_csv,unused_import,1,1,1
plain_time,unused_import,1,0,0
from_time,unused_import,1,0,0
as_alias_time,unused_import,1,1,0
in_func_time,unused_import,1,1,0
in_class_time,unused_import,1,1,1
del_after_time,unused_import,1,1,1
dead_branch_time,unused_import,1,1,1
type_guard_time,unused_import,1,1,0
del_in_func_time,unused_import,1,1,1
try_in_func_time,unused_import,1,1,1
try_import_simplejson,unused_import,1,0,1
try_import_ujson,unused_import,1,0,1
try_import_cjson,unused_import,1,0,1
try_import_orjson,unused_import,1,0,1
try_import_rapidjson,unused_import,1,0,1
try_import_hyperjson,unused_import,1,0,1
try_import_fastjson,unused_import,1,0,1
try_import_yajl,unused_import,1,0,1
